room_id,room_name,capacity,occupancy
R01,Room 01,5,4
R02,Room 02,9,7
R03,Room 03,19,18
R04,Room 04,25,23
R05,Room 05,27,22
R06,Room 06,14,11
R07,Room 07,26,24
R08,Room 08,20,17
R09,Room 09,5,5
R10,Room 10,14,11
R11,Room 11,15,12
R12,Room 12,10,8
R13,Room 13,7,5
R14,Room 14,29,25
R15,Room 15,12,8
R16,Room 16,15,15
R17,Room 17,9,9
R18,Room 18,15,14
R19,Room 19,8,3
R20,Room 20,10,7
R21,Room 21,28,24
R22,Room 22,26,23
R23,Room 23,20,19
R24,Room 24,27,22
R25,Room 25,21,18
R26,Room 26,13,9
R27,Room 27,22,22
R28,Room 28,19,14
R29,Room 29,22,20
R30,Room 30,28,23
