room_id,room_name,capacity,occupancy
R01,Room 01,20,15
R02,Room 02,3,3
R03,Room 03,15,13
R04,Room 04,8,7
R05,Room 05,23,23
R06,Room 06,4,4
R07,Room 07,4,4
R08,Room 08,8,3
R09,Room 09,4,2
R10,Room 10,11,10
R11,Room 11,12,7
R12,Room 12,11,7
R13,Room 13,24,24
R14,Room 14,18,14
R15,Room 15,4,3
R16,Room 16,6,6
R17,Room 17,4,2
R18,Room 18,26,21
R19,Room 19,30,25
R20,Room 20,7,5
R21,Room 21,15,12
R22,Room 22,4,2
R23,Room 23,20,16
R24,Room 24,26,21
R25,Room 25,5,3
R26,Room 26,18,14
R27,Room 27,25,24
R28,Room 28,18,17
R29,Room 29,9,4
R30,Room 30,25,23
