route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C9--C10,E011:C10--C11,E012:C11--C12,E013:C12--C13,E014:C13--C14,E015:C14--C15,E016:C15--C16,E017:C16--C17,E018:C17--C18,E019:C18--C19,E020:C19--C20,E021:C20--C21,E022:C21--C22,E023:C22--C23,E024:C23--C0,E025:C0--EELBOW_EXIT_A,E026:EELBOW_EXIT_A--EXIT_A,E027:C5--EELBOW_EXIT_B,E028:EELBOW_EXIT_B--EXIT_B,E029:C9--EELBOW_EXIT_C,E030:EELBOW_EXIT_C--EXIT_C,E031:C14--EELBOW_EXIT_D,E032:EELBOW_EXIT_D--EXIT_D,E033:C18--EELBOW_EXIT_E,E034:EELBOW_EXIT_E--EXIT_E,E035:C23--EELBOW_EXIT_F,E036:EELBOW_EXIT_F--EXIT_F,E037:START_R01--DOOR_01,E038:DOOR_01--ELBOW_R01,E039:ELBOW_R01--C0,E040:START_R02--DOOR_02,E041:DOOR_02--ELBOW_R02,E042:ELBOW_R02--C1,E043:START_R03--DOOR_03,E044:DOOR_03--ELBOW_R03,E045:ELBOW_R03--C2,E046:START_R04--DOOR_04,E047:DOOR_04--ELBOW_R04,E048:ELBOW_R04--C3,E049:START_R05--DOOR_05,E050:DOOR_05--ELBOW_R05,E051:ELBOW_R05--C4,E052:START_R06--DOOR_06,E053:DOOR_06--ELBOW_R06,E054:ELBOW_R06--C5,E055:START_R07--DOOR_07,E056:DOOR_07--ELBOW_R07,E057:ELBOW_R07--C6,E058:START_R08--DOOR_08,E059:DOOR_08--ELBOW_R08,E060:ELBOW_R08--C7,E061:START_R09--DOOR_09,E062:DOOR_09--ELBOW_R09,E063:ELBOW_R09--C8,E064:START_R10--DOOR_10,E065:DOOR_10--ELBOW_R10,E066:ELBOW_R10--C9,E067:START_R11--DOOR_11,E068:DOOR_11--ELBOW_R11,E069:ELBOW_R11--C10,E070:START_R12--DOOR_12,E071:DOOR_12--ELBOW_R12,E072:ELBOW_R12--C11,E073:START_R13--DOOR_13,E074:DOOR_13--ELBOW_R13,E075:ELBOW_R13--C12,E076:START_R14--DOOR_14,E077:DOOR_14--ELBOW_R14,E078:ELBOW_R14--C13,E079:START_R15--DOOR_15,E080:DOOR_15--ELBOW_R15,E081:ELBOW_R15--C14,E082:START_R16--DOOR_16,E083:DOOR_16--ELBOW_R16,E084:ELBOW_R16--C15,E085:START_R17--DOOR_17,E086:DOOR_17--ELBOW_R17,E087:ELBOW_R17--C16,E088:START_R18--DOOR_18,E089:DOOR_18--ELBOW_R18,E090:ELBOW_R18--C17,E091:START_R19--DOOR_19,E092:DOOR_19--ELBOW_R19,E093:ELBOW_R19--C18,E094:START_R20--DOOR_20,E095:DOOR_20--ELBOW_R20,E096:ELBOW_R20--C19,E097:START_R21--DOOR_21,E098:DOOR_21--ELBOW_R21,E099:ELBOW_R21--C20,E100:START_R22--DOOR_22,E101:DOOR_22--ELBOW_R22,E102:ELBOW_R22--C21,E103:START_R23--DOOR_23,E104:DOOR_23--ELBOW_R23,E105:ELBOW_R23--C22,E106:START_R24--DOOR_24,E107:DOOR_24--ELBOW_R24,E108:ELBOW_R24--C23,E109:START_R25--DOOR_25,E110:DOOR_25--ELBOW_R25,E111:ELBOW_R25--C0,E112:START_R26--DOOR_26,E113:DOOR_26--ELBOW_R26,E114:ELBOW_R26--C1,E115:START_R27--DOOR_27,E116:DOOR_27--ELBOW_R27,E117:ELBOW_R27--C2,E118:START_R28--DOOR_28,E119:DOOR_28--ELBOW_R28,E120:ELBOW_R28--C3,E121:START_R29--DOOR_29,E122:DOOR_29--ELBOW_R29,E123:ELBOW_R29--C4,E124:START_R30--DOOR_30,E125:DOOR_30--ELBOW_R30,E126:ELBOW_R30--C5
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_C,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_C,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
