route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C1--B1_0,E007:START_R01--DOOR_01,E008:DOOR_01--B1_0,E009:B1_0--B1_1,E010:START_R02--DOOR_02,E011:DOOR_02--B1_1,E012:C1--B2_0,E013:START_R03--DOOR_03,E014:DOOR_03--B2_0,E015:B2_0--B2_1,E016:START_R04--DOOR_04,E017:DOOR_04--B2_1,E018:C4--B3_0,E019:START_R05--DOOR_05,E020:DOOR_05--B3_0,E021:B3_0--B3_1,E022:START_R06--DOOR_06,E023:DOOR_06--B3_1,E024:C4--B4_0,E025:START_R07--DOOR_07,E026:DOOR_07--B4_0,E027:B4_0--B4_1,E028:START_R08--DOOR_08,E029:DOOR_08--B4_1,E030:START_R09--DOOR_09,E031:DOOR_09--C5,E032:START_R10--DOOR_10,E033:DOOR_10--C5,E034:C0--EXIT_A,E035:C5--EXIT_B
R01__EXIT_A,19,0,0,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
R01__EXIT_B,0,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
R02__EXIT_A,13,0,0,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
R02__EXIT_B,0,13,13,13,13,13,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
R03__EXIT_A,23,0,0,0,0,0,0,0,0,0,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
R03__EXIT_B,0,23,23,23,23,0,0,0,0,0,0,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
R04__EXIT_A,16,0,0,0,0,0,0,0,0,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
R04__EXIT_B,0,16,16,16,16,0,0,0,0,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
R05__EXIT_A,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
R05__EXIT_B,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
R06__EXIT_A,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,19,0
R06__EXIT_B,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,19
R07__EXIT_A,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,5,0
R07__EXIT_B,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5
R08__EXIT_A,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,22,22,0,0,0,0,22,0
R08__EXIT_B,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22,22,22,0,0,0,0,0,22
R09__EXIT_A,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,11,0
R09__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11
R10__EXIT_A,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0
R10__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25
