node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
C1,navigation,C4,2.0,20.0,83,6,4.15,415.00000000000006,True
C4,navigation,F4,3.0,30.0,78,5,2.6,260.0,True
C5,navigation,G4,3.0,30.0,78,5,2.6,260.0,True
B2_0,navigation,C_A3,2.0,20.0,52,3,2.6,260.0,True
E2,navigation,C_A4,2.0,20.0,52,3,2.6,260.0,True
C0,navigation,B4,3.0,30.0,75,5,2.5,250.0,True
B4_0,navigation,F_A3,2.0,20.0,40,2,2.0,200.0,True
B2_1,navigation,C_A2,2.0,20.0,33,2,1.65,165.0,True
EXIT_B,exit,G3.3,5.0,50.0,78,5,1.56,156.0,True
EXIT_A,exit,B3.3,5.0,50.0,75,5,1.5,150.0,True
B1_1,navigation,C_A6,2.0,20.0,29,2,1.45,145.0,True
E4,navigation,F_A4,3.0,30.0,40,2,1.3333333333333333,133.33333333333331,True
DOOR_06,door,B_A2,2.0,20.0,25,1,1.25,125.0,True
DOOR_07,door,G_A6,2.0,20.0,25,1,1.25,125.0,True
DOOR_04,door,E_A3,2.0,20.0,22,1,1.1,110.00000000000001,True
B1_0,navigation,C_A5,3.0,30.0,31,3,1.0333333333333334,103.33333333333334,True
E1,navigation,C_A4,3.0,30.0,31,3,1.0333333333333334,103.33333333333334,True
B3_0,navigation,F_A5,3.0,30.0,30,2,1.0,100.0,False
E3,navigation,F_A4,3.0,30.0,30,2,1.0,100.0,False
DOOR_02,door,B_A3,2.0,20.0,19,1,0.95,95.0,False
B4_1,navigation,F_A2,2.0,20.0,18,1,0.9,90.0,False
DOOR_08,door,E_A2,2.0,20.0,18,1,0.9,90.0,False
B1_2,navigation,C_A7,2.0,20.0,18,1,0.9,90.0,False
DOOR_09,door,D_A7,2.0,20.0,18,1,0.9,90.0,False
B3_1,navigation,F_A6,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
DOOR_05,door,D_A6,2.0,20.0,11,1,0.55,55.00000000000001,False
B2_2,navigation,C_A1,2.0,20.0,8,1,0.4,40.0,False
DOOR_10,door,B_A1,2.0,20.0,8,1,0.4,40.0,False
C2,navigation,D4,3.0,30.0,8,1,0.26666666666666666,26.666666666666668,False
C3,navigation,E4,3.0,30.0,8,1,0.26666666666666666,26.666666666666668,False
DOOR_03,door,G_A5,2.0,20.0,5,1,0.25,25.0,False
DOOR_01,door,D_A5,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
