room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Room 01,START_R01,2,EXIT_A,6.0,53.22222222222222,59.22222222222222,6,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R02,Room 02,START_R02,19,EXIT_A,6.0,69.54561111111111,75.54561111111111,6,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,5,EXIT_B,6.0,56.419388888888896,62.419388888888896,6,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B
R04,Room 04,START_R04,22,EXIT_B,6.0,32.99161111111111,38.991611111111105,6,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C5 -> EXIT_B
R05,Room 05,START_R05,11,EXIT_A,7.0,57.30522222222221,64.30522222222223,7,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R06,Room 06,START_R06,25,EXIT_A,7.0,39.44444444444444,46.44444444444444,7,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A
R07,Room 07,START_R07,25,EXIT_B,7.0,24.904513888888893,31.904513888888886,7,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B
R08,Room 08,START_R08,18,EXIT_B,7.0,54.923611111111114,61.923611111111114,7,START_R08 -> DOOR_08 -> B4_1 -> B4_0 -> E4 -> C4 -> C5 -> EXIT_B
R09,Room 09,START_R09,18,EXIT_A,8.0,42.09355555555556,50.09355555555556,8,START_R09 -> DOOR_09 -> B1_2 -> B1_1 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R10,Room 10,START_R10,8,EXIT_B,11.0,124.11516666666667,135.11516666666665,11,START_R10 -> DOOR_10 -> B2_2 -> B2_1 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B
