route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,2,6.0,6,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A,E008:START_R01--DOOR_01 | E009:DOOR_01--B1_0 | E007:E1--B1_0 | E006:C1--E1 | E001:C0--C1 | E040:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,2,9.0,9,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E008:START_R01--DOOR_01 | E009:DOOR_01--B1_0 | E007:E1--B1_0 | E006:C1--E1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E041:C5--EXIT_B
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,19,6.0,6,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,E012:START_R02--DOOR_02 | E013:DOOR_02--B2_0 | E011:E2--B2_0 | E010:C1--E2 | E001:C0--C1 | E040:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,19,9.0,9,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E012:START_R02--DOOR_02 | E013:DOOR_02--B2_0 | E011:E2--B2_0 | E010:C1--E2 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E041:C5--EXIT_B
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,5,9.0,9,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E016:START_R03--DOOR_03 | E017:DOOR_03--B3_0 | E015:E3--B3_0 | E014:C4--E3 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E040:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,5,6.0,6,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B,E016:START_R03--DOOR_03 | E017:DOOR_03--B3_0 | E015:E3--B3_0 | E014:C4--E3 | E005:C4--C5 | E041:C5--EXIT_B
R04__EXIT_A,R04,Room 04,START_R04,EXIT_A,22,9.0,9,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E020:START_R04--DOOR_04 | E021:DOOR_04--B4_0 | E019:E4--B4_0 | E018:C4--E4 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E040:C0--EXIT_A
R04__EXIT_B,R04,Room 04,START_R04,EXIT_B,22,6.0,6,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C5 -> EXIT_B,E020:START_R04--DOOR_04 | E021:DOOR_04--B4_0 | E019:E4--B4_0 | E018:C4--E4 | E005:C4--C5 | E041:C5--EXIT_B
R05__EXIT_A,R05,Room 05,START_R05,EXIT_A,11,7.0,7,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A,E023:START_R05--DOOR_05 | E024:DOOR_05--B1_1 | E022:B1_0--B1_1 | E007:E1--B1_0 | E006:C1--E1 | E001:C0--C1 | E040:C0--EXIT_A
R05__EXIT_B,R05,Room 05,START_R05,EXIT_B,11,10.0,10,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E023:START_R05--DOOR_05 | E024:DOOR_05--B1_1 | E022:B1_0--B1_1 | E007:E1--B1_0 | E006:C1--E1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E041:C5--EXIT_B
R06__EXIT_A,R06,Room 06,START_R06,EXIT_A,25,7.0,7,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,E026:START_R06--DOOR_06 | E027:DOOR_06--B2_1 | E025:B2_0--B2_1 | E011:E2--B2_0 | E010:C1--E2 | E001:C0--C1 | E040:C0--EXIT_A
R06__EXIT_B,R06,Room 06,START_R06,EXIT_B,25,10.0,10,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E026:START_R06--DOOR_06 | E027:DOOR_06--B2_1 | E025:B2_0--B2_1 | E011:E2--B2_0 | E010:C1--E2 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E041:C5--EXIT_B
R07__EXIT_A,R07,Room 07,START_R07,EXIT_A,25,10.0,10,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E029:START_R07--DOOR_07 | E030:DOOR_07--B3_1 | E028:B3_0--B3_1 | E015:E3--B3_0 | E014:C4--E3 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E040:C0--EXIT_A
