room_id,room_name,start_node,exit_node,dijkstra_distance,astar_distance,distances_match,same_exact_path,dijkstra_hops,astar_hops,dijkstra_path,astar_path
R01,Room 01,START_R01,EXIT_A,6.0,6.0,True,True,6,6,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R01,Room 01,START_R01,EXIT_B,9.0,9.0,True,True,9,9,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B
R02,Room 02,START_R02,EXIT_A,6.0,6.0,True,True,6,6,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A
R02,Room 02,START_R02,EXIT_B,9.0,9.0,True,True,9,9,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B
R03,Room 03,START_R03,EXIT_A,9.0,9.0,True,True,9,9,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,EXIT_B,6.0,6.0,True,True,6,6,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B
R04,Room 04,START_R04,EXIT_A,9.0,9.0,True,True,9,9,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
R04,Room 04,START_R04,EXIT_B,6.0,6.0,True,True,6,6,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C5 -> EXIT_B,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C4 -> C5 -> EXIT_B
R05,Room 05,START_R05,EXIT_A,7.0,7.0,True,True,7,7,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C0 -> EXIT_A
R05,Room 05,START_R05,EXIT_B,10.0,10.0,True,True,10,10,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,START_R05 -> DOOR_05 -> B1_1 -> B1_0 -> E1 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B
R06,Room 06,START_R06,EXIT_A,7.0,7.0,True,True,7,7,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A
R06,Room 06,START_R06,EXIT_B,10.0,10.0,True,True,10,10,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,START_R06 -> DOOR_06 -> B2_1 -> B2_0 -> E2 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B
R07,Room 07,START_R07,EXIT_A,10.0,10.0,True,True,10,10,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
R07,Room 07,START_R07,EXIT_B,7.0,7.0,True,True,7,7,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B,START_R07 -> DOOR_07 -> B3_1 -> B3_0 -> E3 -> C4 -> C5 -> EXIT_B
R08,Room 08,START_R08,EXIT_A,10.0,10.0,True,True,10,10,START_R08 -> DOOR_08 -> B4_1 -> B4_0 -> E4 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,START_R08 -> DOOR_08 -> B4_1 -> B4_0 -> E4 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
