node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
C0,navigation,B4,3.0,30.0,105,6,3.5,350.0,True
C1,navigation,C4,3.0,30.0,105,6,3.5,350.0,True
B2_0,navigation,C_A3,2.0,20.0,56,3,2.8,280.0,True
E2,navigation,C_A4,2.0,20.0,56,3,2.8,280.0,True
B1_0,navigation,C_A5,2.0,20.0,49,3,2.45,245.00000000000003,True
B2_1,navigation,C_A2,2.0,20.0,43,2,2.15,215.0,True
EXIT_A,exit,B3.3,5.0,50.0,105,6,2.1,210.0,True
C4,navigation,F4,3.0,30.0,60,4,2.0,200.0,True
C5,navigation,G4,3.0,30.0,60,4,2.0,200.0,True
B4_0,navigation,F_A3,2.0,20.0,25,2,1.25,125.0,True
E1,navigation,C_A4,4.0,40.0,49,3,1.225,122.50000000000001,True
B1_1,navigation,C_A6,2.0,20.0,24,2,1.2,120.0,True
EXIT_B,exit,G3.3,5.0,50.0,60,4,1.2,120.0,True
B3_0,navigation,F_A5,3.0,30.0,35,2,1.1666666666666667,116.66666666666667,True
E3,navigation,F_A4,3.0,30.0,35,2,1.1666666666666667,116.66666666666667,True
B3_1,navigation,F_A6,2.0,20.0,22,1,1.1,110.00000000000001,True
DOOR_07,door,G_A6,2.0,20.0,22,1,1.1,110.00000000000001,True
B2_2,navigation,C_A1,2.0,20.0,18,1,0.9,90.0,False
DOOR_10,door,B_A1,2.0,20.0,18,1,0.9,90.0,False
DOOR_01,door,D_A5,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
E4,navigation,F_A4,3.0,30.0,25,2,0.8333333333333334,83.33333333333334,False
DOOR_06,door,B_A2,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
DOOR_04,door,E_A3,2.0,20.0,16,1,0.8,80.0,False
DOOR_02,door,B_A3,2.0,20.0,13,1,0.65,65.0,False
B1_2,navigation,C_A7,2.0,20.0,10,1,0.5,50.0,False
DOOR_09,door,D_A7,2.0,20.0,10,1,0.5,50.0,False
DOOR_05,door,D_A6,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
B4_1,navigation,F_A2,2.0,20.0,9,1,0.45,45.0,False
DOOR_08,door,E_A2,2.0,20.0,9,1,0.45,45.0,False
DOOR_03,door,G_A5,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C2,navigation,D4,3.0,30.0,0,0,0.0,0.0,False
C3,navigation,E4,3.0,30.0,0,0,0.0,0.0,False
