route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C1--E1,E007:E1--B1_0,E008:START_R01--DOOR_01,E009:DOOR_01--B1_0,E010:C1--E2,E011:E2--B2_0,E012:START_R02--DOOR_02,E013:DOOR_02--B2_0,E014:C4--E3,E015:E3--B3_0,E016:START_R03--DOOR_03,E017:DOOR_03--B3_0,E018:C4--E4,E019:E4--B4_0,E020:START_R04--DOOR_04,E021:DOOR_04--B4_0,E022:B1_0--B1_1,E023:START_R05--DOOR_05,E024:DOOR_05--B1_1,E025:B2_0--B2_1,E026:START_R06--DOOR_06,E027:DOOR_06--B2_1,E028:B3_0--B3_1,E029:START_R07--DOOR_07,E030:DOOR_07--B3_1,E031:B4_0--B4_1,E032:START_R08--DOOR_08,E033:DOOR_08--B4_1,E034:B1_1--B1_2,E035:START_R09--DOOR_09,E036:DOOR_09--B1_2,E037:B2_1--B2_2,E038:START_R10--DOOR_10,E039:DOOR_10--B2_2,E040:C0--EXIT_A,E041:C5--EXIT_B
R01__EXIT_A,25,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
R01__EXIT_B,0,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
R02__EXIT_A,13,0,0,0,0,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
R02__EXIT_B,0,13,13,13,13,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
R03__EXIT_A,13,13,13,13,0,0,0,0,0,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
R03__EXIT_B,0,0,0,0,13,0,0,0,0,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
R04__EXIT_A,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
R04__EXIT_B,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
R05__EXIT_A,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
R05__EXIT_B,0,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
R06__EXIT_A,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0
R06__EXIT_B,0,25,25,25,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
R07__EXIT_A,22,22,22,22,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,22,0
R07__EXIT_B,0,0,0,0,22,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,0,0,0,0,0,0,0,0,0,0,22
R08__EXIT_A,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,9,0
R08__EXIT_B,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,9
R09__EXIT_A,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,10,0
R09__EXIT_B,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,10
R10__EXIT_A,18,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,0
R10__EXIT_B,0,18,18,18,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,18
