route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,24,5.0,5,START_R01 -> DOOR_01 -> B1_0 -> C1 -> C0 -> EXIT_A,E007:START_R01--DOOR_01 | E008:DOOR_01--B1_0 | E006:C1--B1_0 | E001:C0--C1 | E066:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,24,8.0,8,START_R01 -> DOOR_01 -> B1_0 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E007:START_R01--DOOR_01 | E008:DOOR_01--B1_0 | E006:C1--B1_0 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E067:C5--EXIT_B
R01__EXIT_C,R01,Room 01,START_R01,EXIT_C,24,4.0,4,START_R01 -> DOOR_01 -> B1_0 -> C1 -> EXIT_C,E007:START_R01--DOOR_01 | E008:DOOR_01--B1_0 | E006:C1--B1_0 | E068:C1--EXIT_C
R01__EXIT_D,R01,Room 01,START_R01,EXIT_D,24,5.0,5,START_R01 -> DOOR_01 -> B1_0 -> C1 -> C2 -> EXIT_D,E007:START_R01--DOOR_01 | E008:DOOR_01--B1_0 | E006:C1--B1_0 | E002:C1--C2 | E069:C2--EXIT_D
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,25,5.0,5,START_R02 -> DOOR_02 -> B2_0 -> C1 -> C0 -> EXIT_A,E010:START_R02--DOOR_02 | E011:DOOR_02--B2_0 | E009:C1--B2_0 | E001:C0--C1 | E066:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,25,8.0,8,START_R02 -> DOOR_02 -> B2_0 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E010:START_R02--DOOR_02 | E011:DOOR_02--B2_0 | E009:C1--B2_0 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E067:C5--EXIT_B
R02__EXIT_C,R02,Room 02,START_R02,EXIT_C,25,4.0,4,START_R02 -> DOOR_02 -> B2_0 -> C1 -> EXIT_C,E010:START_R02--DOOR_02 | E011:DOOR_02--B2_0 | E009:C1--B2_0 | E068:C1--EXIT_C
R02__EXIT_D,R02,Room 02,START_R02,EXIT_D,25,5.0,5,START_R02 -> DOOR_02 -> B2_0 -> C1 -> C2 -> EXIT_D,E010:START_R02--DOOR_02 | E011:DOOR_02--B2_0 | E009:C1--B2_0 | E002:C1--C2 | E069:C2--EXIT_D
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,4,6.0,6,START_R03 -> DOOR_03 -> B3_0 -> C2 -> C1 -> C0 -> EXIT_A,E013:START_R03--DOOR_03 | E014:DOOR_03--B3_0 | E012:C2--B3_0 | E002:C1--C2 | E001:C0--C1 | E066:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,4,7.0,7,START_R03 -> DOOR_03 -> B3_0 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E013:START_R03--DOOR_03 | E014:DOOR_03--B3_0 | E012:C2--B3_0 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E067:C5--EXIT_B
R03__EXIT_C,R03,Room 03,START_R03,EXIT_C,4,5.0,5,START_R03 -> DOOR_03 -> B3_0 -> C2 -> C1 -> EXIT_C,E013:START_R03--DOOR_03 | E014:DOOR_03--B3_0 | E012:C2--B3_0 | E002:C1--C2 | E068:C1--EXIT_C
R03__EXIT_D,R03,Room 03,START_R03,EXIT_D,4,4.0,4,START_R03 -> DOOR_03 -> B3_0 -> C2 -> EXIT_D,E013:START_R03--DOOR_03 | E014:DOOR_03--B3_0 | E012:C2--B3_0 | E069:C2--EXIT_D
R04__EXIT_A,R04,Room 04,START_R04,EXIT_A,23,6.0,6,START_R04 -> DOOR_04 -> B4_0 -> C2 -> C1 -> C0 -> EXIT_A,E016:START_R04--DOOR_04 | E017:DOOR_04--B4_0 | E015:C2--B4_0 | E002:C1--C2 | E001:C0--C1 | E066:C0--EXIT_A
R04__EXIT_B,R04,Room 04,START_R04,EXIT_B,23,7.0,7,START_R04 -> DOOR_04 -> B4_0 -> C2 -> C3 -> C4 -> C5 -> EXIT_B,E016:START_R04--DOOR_04 | E017:DOOR_04--B4_0 | E015:C2--B4_0 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E067:C5--EXIT_B
R04__EXIT_C,R04,Room 04,START_R04,EXIT_C,23,5.0,5,START_R04 -> DOOR_04 -> B4_0 -> C2 -> C1 -> EXIT_C,E016:START_R04--DOOR_04 | E017:DOOR_04--B4_0 | E015:C2--B4_0 | E002:C1--C2 | E068:C1--EXIT_C
R04__EXIT_D,R04,Room 04,START_R04,EXIT_D,23,4.0,4,START_R04 -> DOOR_04 -> B4_0 -> C2 -> EXIT_D,E016:START_R04--DOOR_04 | E017:DOOR_04--B4_0 | E015:C2--B4_0 | E069:C2--EXIT_D
