route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C1--E1,E007:E1--B1_0,E008:START_R01--DOOR_01,E009:DOOR_01--B1_0,E010:C1--E2,E011:E2--B2_0,E012:START_R02--DOOR_02,E013:DOOR_02--B2_0,E014:C2--E3,E015:E3--B3_0,E016:START_R03--DOOR_03,E017:DOOR_03--B3_0,E018:C2--E4,E019:E4--B4_0,E020:START_R04--DOOR_04,E021:DOOR_04--B4_0,E022:C3--E5,E023:E5--B5_0,E024:START_R05--DOOR_05,E025:DOOR_05--B5_0,E026:C3--E6,E027:E6--B6_0,E028:START_R06--DOOR_06,E029:DOOR_06--B6_0,E030:C4--E7,E031:E7--B7_0,E032:START_R07--DOOR_07,E033:DOOR_07--B7_0,E034:C4--E8,E035:E8--B8_0,E036:START_R08--DOOR_08,E037:DOOR_08--B8_0,E038:B1_0--B1_1,E039:START_R09--DOOR_09,E040:DOOR_09--B1_1,E041:B2_0--B2_1,E042:START_R10--DOOR_10,E043:DOOR_10--B2_1,E044:B3_0--B3_1,E045:START_R11--DOOR_11,E046:DOOR_11--B3_1,E047:B4_0--B4_1,E048:START_R12--DOOR_12,E049:DOOR_12--B4_1,E050:B5_0--B5_1,E051:START_R13--DOOR_13,E052:DOOR_13--B5_1,E053:B6_0--B6_1,E054:START_R14--DOOR_14,E055:DOOR_14--B6_1,E056:B7_0--B7_1,E057:START_R15--DOOR_15,E058:DOOR_15--B7_1,E059:B8_0--B8_1,E060:START_R16--DOOR_16,E061:DOOR_16--B8_1,E062:B1_1--B1_2,E063:START_R17--DOOR_17,E064:DOOR_17--B1_2,E065:B2_1--B2_2,E066:START_R18--DOOR_18,E067:DOOR_18--B2_2,E068:B3_1--B3_2,E069:START_R19--DOOR_19,E070:DOOR_19--B3_2,E071:B4_1--B4_2,E072:START_R20--DOOR_20,E073:DOOR_20--B4_2,E074:C0--EXIT_A,E075:C5--EXIT_B,E076:C1--EXIT_C,E077:C2--EXIT_D
R01__EXIT_A,4,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
R01__EXIT_B,0,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
R01__EXIT_C,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
R01__EXIT_D,0,4,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
R02__EXIT_A,25,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
R02__EXIT_B,0,25,25,25,25,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
R02__EXIT_C,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
R02__EXIT_D,0,25,0,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
R03__EXIT_A,8,8,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
R03__EXIT_B,0,0,8,8,8,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
