room_id,room_name,capacity,occupancy
R01,Room 01,18,15
R02,Room 02,16,13
R03,Room 03,13,13
R04,Room 04,23,19
R05,Room 05,25,21
R06,Room 06,15,12
R07,Room 07,21,21
R08,Room 08,14,9
R09,Room 09,11,7
R10,Room 10,21,20
R11,Room 11,8,4
R12,Room 12,10,10
R13,Room 13,23,23
R14,Room 14,4,4
R15,Room 15,16,16
R16,Room 16,11,10
R17,Room 17,10,10
R18,Room 18,22,21
R19,Room 19,15,13
R20,Room 20,5,4
R21,Room 21,9,7
R22,Room 22,19,18
R23,Room 23,25,23
R24,Room 24,27,22
R25,Room 25,14,11
R26,Room 26,26,24
R27,Room 27,20,17
R28,Room 28,5,5
R29,Room 29,14,11
R30,Room 30,15,12
