source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C4,EXIT_F,exit,1.0,4.0,40.0,104,12,2.6,260.0,True
C4,C5,navigation,1.0,3.0,30.0,73,8,2.433333333333333,243.33333333333331,True
B1_0,E1,navigation,1.0,2.0,20.0,35,2,1.75,175.0,True
C8,C9,navigation,1.0,5.0,50.0,82,6,1.64,164.0,True
B14_0,E14,navigation,1.0,2.0,20.0,32,2,1.6,160.0,True
C5,E10,navigation,1.0,2.0,20.0,28,2,1.4,140.0,True
C9,EXIT_B,exit,1.0,6.0,60.0,82,6,1.3666666666666667,136.66666666666666,True
C1,EXIT_C,exit,1.0,4.0,40.0,54,4,1.35,135.0,True
START_R30,DOOR_30,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
C7,C8,navigation,1.0,4.0,40.0,48,4,1.2,120.0,True
B3_0,E3,navigation,1.0,3.0,30.0,36,2,1.2,120.0,True
B16_0,DOOR_16,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
C1,E1,navigation,1.0,3.0,30.0,35,2,1.1666666666666667,116.66666666666667,True
B9_0,E9,navigation,1.0,2.0,20.0,23,2,1.15,114.99999999999999,True
B10_1,DOOR_26,door_to_hallway,1.0,2.0,20.0,21,1,1.05,105.0,True
START_R26,DOOR_26,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C2,EXIT_D,exit,1.0,4.0,40.0,41,4,1.025,102.49999999999999,True
C1,E2,navigation,1.0,2.0,20.0,19,2,0.95,95.0,False
START_R01,DOOR_01,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
B3_0,DOOR_03,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
B8_0,E8,navigation,1.0,2.0,20.0,19,2,0.95,95.0,False
B10_0,E10,navigation,1.0,3.0,30.0,28,2,0.9333333333333333,93.33333333333333,False
C2,E3,navigation,1.0,4.0,40.0,36,2,0.9,90.0,False
C3,E5,navigation,1.0,2.0,20.0,18,2,0.9,90.0,False
B5_0,E5,navigation,1.0,2.0,20.0,18,2,0.9,90.0,False
B9_1,DOOR_25,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
B6_0,E6,navigation,1.0,2.0,20.0,17,2,0.85,85.0,False
START_R19,DOOR_19,room_start,1.0,2.0,20.0,17,1,0.85,85.0,False
B14_0,B14_1,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
B14_1,DOOR_30,door_to_hallway,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C7,E14,navigation,1.0,4.0,40.0,32,2,0.8,80.0,False
C8,E16,navigation,1.0,3.0,30.0,24,1,0.8,80.0,False
START_R16,DOOR_16,room_start,1.0,3.0,30.0,24,1,0.8,80.0,False
B1_1,DOOR_17,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
START_R17,DOOR_17,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
B6_1,DOOR_22,door_to_hallway,1.0,2.0,20.0,15,1,0.75,75.0,False
START_R22,DOOR_22,room_start,1.0,2.0,20.0,15,1,0.75,75.0,False
B10_0,B10_1,navigation,1.0,3.0,30.0,21,1,0.7,70.0,False
B5_1,DOOR_21,door_to_hallway,1.0,2.0,20.0,14,1,0.7,70.0,False
START_R21,DOOR_21,room_start,1.0,2.0,20.0,14,1,0.7,70.0,False
B1_0,DOOR_01,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
B2_0,E2,navigation,1.0,3.0,30.0,19,2,0.6333333333333333,63.33333333333333,False
START_R03,DOOR_03,room_start,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
B7_0,E7,navigation,1.0,2.0,20.0,12,2,0.6,60.0,False
B9_0,B9_1,navigation,1.0,3.0,30.0,18,1,0.6,60.0,False
B16_0,E16,navigation,1.0,4.0,40.0,24,1,0.6,60.0,False
START_R25,DOOR_25,room_start,1.0,3.0,30.0,18,1,0.6,60.0,False
C3,EXIT_E,exit,1.0,6.0,60.0,35,4,0.5833333333333334,58.333333333333336,False
C5,E9,navigation,1.0,4.0,40.0,23,2,0.575,57.49999999999999,False
B3_0,B3_1,navigation,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
B3_1,DOOR_19,door_to_hallway,1.0,3.0,30.0,17,1,0.5666666666666667,56.666666666666664,False
C5,C6,navigation,1.0,4.0,40.0,22,4,0.55,55.00000000000001,False
B11_0,DOOR_11,door_to_hallway,1.0,2.0,20.0,11,1,0.55,55.00000000000001,False
C7,E13,navigation,1.0,3.0,30.0,16,2,0.5333333333333333,53.333333333333336,False
B1_0,B1_1,navigation,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
B13_0,E13,navigation,1.0,3.0,30.0,16,2,0.5333333333333333,53.333333333333336,False
B7_0,B7_1,navigation,1.0,2.0,20.0,10,1,0.5,50.0,False
B15_0,DOOR_15,door_to_hallway,1.0,2.0,20.0,10,1,0.5,50.0,False
START_R23,DOOR_23,room_start,1.0,2.0,20.0,10,1,0.5,50.0,False
C4,E8,navigation,1.0,4.0,40.0,19,2,0.475,47.5,False
B8_0,DOOR_08,door_to_hallway,1.0,2.0,20.0,9,1,0.45,45.0,False
C3,E6,navigation,1.0,4.0,40.0,17,2,0.425,42.5,False
B2_1,DOOR_18,door_to_hallway,1.0,3.0,30.0,12,1,0.4,40.0,False
START_R18,DOOR_18,room_start,1.0,3.0,30.0,12,1,0.4,40.0,False
B6_0,B6_1,navigation,1.0,4.0,40.0,15,1,0.375,37.5,False
START_R11,DOOR_11,room_start,1.0,3.0,30.0,11,1,0.36666666666666664,36.666666666666664,False
B2_0,DOOR_02,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
B5_0,B5_1,navigation,1.0,4.0,40.0,14,1,0.35,35.0,False
B10_0,DOOR_10,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
START_R10,DOOR_10,room_start,1.0,2.0,20.0,7,1,0.35,35.0,False
B12_0,DOOR_12,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
B14_0,DOOR_14,door_to_hallway,1.0,2.0,20.0,7,1,0.35,35.0,False
B13_0,DOOR_13,door_to_hallway,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R13,DOOR_13,room_start,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
B15_0,E15,navigation,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
START_R15,DOOR_15,room_start,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
B7_1,DOOR_23,door_to_hallway,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
