route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C1--B1_0,E011:START_R01--DOOR_01,E012:DOOR_01--B1_0,E013:B1_0--B1_1,E014:START_R02--DOOR_02,E015:DOOR_02--B1_1,E016:C1--B2_0,E017:START_R03--DOOR_03,E018:DOOR_03--B2_0,E019:B2_0--B2_1,E020:START_R04--DOOR_04,E021:DOOR_04--B2_1,E022:C2--B3_0,E023:START_R05--DOOR_05,E024:DOOR_05--B3_0,E025:B3_0--B3_1,E026:START_R06--DOOR_06,E027:DOOR_06--B3_1,E028:C2--B4_0,E029:START_R07--DOOR_07,E030:DOOR_07--B4_0,E031:B4_0--B4_1,E032:START_R08--DOOR_08,E033:DOOR_08--B4_1,E034:C3--B5_0,E035:START_R09--DOOR_09,E036:DOOR_09--B5_0,E037:B5_0--B5_1,E038:START_R10--DOOR_10,E039:DOOR_10--B5_1,E040:C3--B6_0,E041:START_R11--DOOR_11,E042:DOOR_11--B6_0,E043:B6_0--B6_1,E044:START_R12--DOOR_12,E045:DOOR_12--B6_1,E046:C4--B7_0,E047:START_R13--DOOR_13,E048:DOOR_13--B7_0,E049:B7_0--B7_1,E050:START_R14--DOOR_14,E051:DOOR_14--B7_1,E052:C4--B8_0,E053:START_R15--DOOR_15,E054:DOOR_15--B8_0,E055:B8_0--B8_1,E056:START_R16--DOOR_16,E057:DOOR_16--B8_1,E058:C5--B9_0,E059:START_R17--DOOR_17,E060:DOOR_17--B9_0,E061:B9_0--B9_1,E062:START_R18--DOOR_18,E063:DOOR_18--B9_1,E064:C5--B10_0,E065:START_R19--DOOR_19,E066:DOOR_19--B10_0,E067:B10_0--B10_1,E068:START_R20--DOOR_20,E069:DOOR_20--B10_1,E070:C6--B11_0,E071:START_R21--DOOR_21,E072:DOOR_21--B11_0,E073:B11_0--B11_1,E074:START_R22--DOOR_22,E075:DOOR_22--B11_1,E076:C6--B12_0,E077:START_R23--DOOR_23,E078:DOOR_23--B12_0,E079:B12_0--B12_1,E080:START_R24--DOOR_24,E081:DOOR_24--B12_1,E082:C7--B13_0,E083:START_R25--DOOR_25,E084:DOOR_25--B13_0,E085:B13_0--B13_1,E086:START_R26--DOOR_26,E087:DOOR_26--B13_1,E088:C7--B14_0,E089:START_R27--DOOR_27,E090:DOOR_27--B14_0,E091:B14_0--B14_1,E092:START_R28--DOOR_28,E093:DOOR_28--B14_1,E094:C8--B15_0,E095:START_R29--DOOR_29,E096:DOOR_29--B15_0,E097:B15_0--B15_1,E098:START_R30--DOOR_30,E099:DOOR_30--B15_1,E100:C8--B16_0,E101:B16_0--B16_1,E102:C0--EXIT_A,E103:C9--EXIT_B,E104:C1--EXIT_C,E105:C2--EXIT_D,E106:C3--EXIT_E,E107:C4--EXIT_F
R01__EXIT_A,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R01__EXIT_B,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R01__EXIT_D,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R01__EXIT_E,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R01__EXIT_F,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R02__EXIT_A,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R02__EXIT_B,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R02__EXIT_C,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R02__EXIT_D,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
