route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C1--B1_0,E011:START_R01--DOOR_01,E012:DOOR_01--B1_0,E013:C1--B2_0,E014:START_R02--DOOR_02,E015:DOOR_02--B2_0,E016:C2--B3_0,E017:START_R03--DOOR_03,E018:DOOR_03--B3_0,E019:C2--B4_0,E020:START_R04--DOOR_04,E021:DOOR_04--B4_0,E022:C3--B5_0,E023:START_R05--DOOR_05,E024:DOOR_05--B5_0,E025:C3--B6_0,E026:START_R06--DOOR_06,E027:DOOR_06--B6_0,E028:C4--B7_0,E029:START_R07--DOOR_07,E030:DOOR_07--B7_0,E031:C4--B8_0,E032:START_R08--DOOR_08,E033:DOOR_08--B8_0,E034:C5--B9_0,E035:START_R09--DOOR_09,E036:DOOR_09--B9_0,E037:C5--B10_0,E038:START_R10--DOOR_10,E039:DOOR_10--B10_0,E040:C6--B11_0,E041:START_R11--DOOR_11,E042:DOOR_11--B11_0,E043:C6--B12_0,E044:START_R12--DOOR_12,E045:DOOR_12--B12_0,E046:C7--B13_0,E047:START_R13--DOOR_13,E048:DOOR_13--B13_0,E049:C7--B14_0,E050:START_R14--DOOR_14,E051:DOOR_14--B14_0,E052:C8--B15_0,E053:START_R15--DOOR_15,E054:DOOR_15--B15_0,E055:C8--B16_0,E056:START_R16--DOOR_16,E057:DOOR_16--B16_0,E058:B1_0--B1_1,E059:START_R17--DOOR_17,E060:DOOR_17--B1_1,E061:B2_0--B2_1,E062:START_R18--DOOR_18,E063:DOOR_18--B2_1,E064:B3_0--B3_1,E065:START_R19--DOOR_19,E066:DOOR_19--B3_1,E067:B4_0--B4_1,E068:START_R20--DOOR_20,E069:DOOR_20--B4_1,E070:B5_0--B5_1,E071:START_R21--DOOR_21,E072:DOOR_21--B5_1,E073:B6_0--B6_1,E074:START_R22--DOOR_22,E075:DOOR_22--B6_1,E076:B7_0--B7_1,E077:START_R23--DOOR_23,E078:DOOR_23--B7_1,E079:B8_0--B8_1,E080:START_R24--DOOR_24,E081:DOOR_24--B8_1,E082:B9_0--B9_1,E083:START_R25--DOOR_25,E084:DOOR_25--B9_1,E085:B10_0--B10_1,E086:START_R26--DOOR_26,E087:DOOR_26--B10_1,E088:B11_0--B11_1,E089:START_R27--DOOR_27,E090:DOOR_27--B11_1,E091:B12_0--B12_1,E092:START_R28--DOOR_28,E093:DOOR_28--B12_1,E094:B13_0--B13_1,E095:START_R29--DOOR_29,E096:DOOR_29--B13_1,E097:B14_0--B14_1,E098:START_R30--DOOR_30,E099:DOOR_30--B14_1,E100:C0--EXIT_A,E101:C9--EXIT_B,E102:C1--EXIT_C,E103:C2--EXIT_D,E104:C3--EXIT_E,E105:C4--EXIT_F
R01__EXIT_A,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
R01__EXIT_B,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
R01__EXIT_D,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
R01__EXIT_E,0,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
R01__EXIT_F,0,4,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
R02__EXIT_A,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
R02__EXIT_B,0,4,4,4,4,4,4,4,4,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
R02__EXIT_C,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
R02__EXIT_D,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
