room_id,room_name,capacity,occupancy
R01,Room 01,24,24
R02,Room 02,18,14
R03,Room 03,4,3
R04,Room 04,6,6
R05,Room 05,4,2
R06,Room 06,26,21
R07,Room 07,30,25
R08,Room 08,7,5
R09,Room 09,15,12
R10,Room 10,4,2
R11,Room 11,20,16
R12,Room 12,26,21
R13,Room 13,5,3
R14,Room 14,18,14
R15,Room 15,25,24
R16,Room 16,18,17
R17,Room 17,9,4
R18,Room 18,25,23
R19,Room 19,5,5
R20,Room 20,17,16
R21,Room 21,22,18
R22,Room 22,17,14
R23,Room 23,20,18
R24,Room 24,8,6
R25,Room 25,12,10
R26,Room 26,24,21
R27,Room 27,22,22
R28,Room 28,28,24
R29,Room 29,11,6
R30,Room 30,5,3
