source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C4,C5,navigation,1.0,3.0,30.0,96,8,3.2,320.0,True
C8,C9,navigation,1.0,4.0,40.0,99,6,2.475,247.5,True
C9,EXIT_B,exit,1.0,4.0,40.0,99,6,2.475,247.5,True
B7_0,E7,navigation,1.0,2.0,20.0,43,2,2.15,215.0,True
C4,EXIT_F,exit,1.0,6.0,60.0,114,9,1.9,190.0,True
C3,E6,navigation,1.0,2.0,20.0,35,2,1.75,175.0,True
B6_0,E6,navigation,1.0,2.0,20.0,35,2,1.75,175.0,True
C3,EXIT_E,exit,1.0,4.0,40.0,63,5,1.575,157.5,True
C6,E12,navigation,1.0,3.0,30.0,45,2,1.5,150.0,True
B12_0,E12,navigation,1.0,3.0,30.0,45,2,1.5,150.0,True
C7,C8,navigation,1.0,4.0,40.0,58,4,1.45,145.0,True
C4,E7,navigation,1.0,3.0,30.0,43,2,1.4333333333333333,143.33333333333334,True
B1_0,E1,navigation,1.0,2.0,20.0,28,2,1.4,140.0,True
C2,EXIT_D,exit,1.0,6.0,60.0,76,6,1.2666666666666666,126.66666666666666,True
START_R07,DOOR_07,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
C1,E2,navigation,1.0,3.0,30.0,37,2,1.2333333333333334,123.33333333333334,True
B1_0,DOOR_01,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
START_R01,DOOR_01,room_start,1.0,2.0,20.0,24,1,1.2,120.0,True
B12_0,B12_1,navigation,1.0,2.0,20.0,24,1,1.2,120.0,True
B15_0,E15,navigation,1.0,2.0,20.0,24,1,1.2,120.0,True
B15_0,DOOR_15,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
B12_1,DOOR_28,door_to_hallway,1.0,2.0,20.0,24,1,1.2,120.0,True
START_R28,DOOR_28,room_start,1.0,2.0,20.0,24,1,1.2,120.0,True
START_R18,DOOR_18,room_start,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
C2,E4,navigation,1.0,2.0,20.0,22,2,1.1,110.00000000000001,True
B11_1,DOOR_27,door_to_hallway,1.0,2.0,20.0,22,1,1.1,110.00000000000001,True
B6_0,DOOR_06,door_to_hallway,1.0,2.0,20.0,21,1,1.05,105.0,True
START_R06,DOOR_06,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
B10_1,DOOR_26,door_to_hallway,1.0,2.0,20.0,21,1,1.05,105.0,True
START_R26,DOOR_26,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C5,C6,navigation,1.0,5.0,50.0,51,4,1.02,102.0,True
C6,E11,navigation,1.0,4.0,40.0,38,2,0.95,95.0,False
B11_0,E11,navigation,1.0,4.0,40.0,38,2,0.95,95.0,False
C1,C2,navigation,1.0,3.0,30.0,28,2,0.9333333333333333,93.33333333333333,False
C2,C3,navigation,1.0,3.0,30.0,28,2,0.9333333333333333,93.33333333333333,False
B2_0,E2,navigation,1.0,4.0,40.0,37,2,0.925,92.5,False
C3,C4,navigation,1.0,4.0,40.0,36,3,0.9,90.0,False
B5_1,DOOR_21,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
START_R21,DOOR_21,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
