route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C1--E1,E011:E1--B1_0,E012:START_R01--DOOR_01,E013:DOOR_01--B1_0,E014:C1--E2,E015:E2--B2_0,E016:START_R02--DOOR_02,E017:DOOR_02--B2_0,E018:C2--E3,E019:E3--B3_0,E020:START_R03--DOOR_03,E021:DOOR_03--B3_0,E022:C2--E4,E023:E4--B4_0,E024:START_R04--DOOR_04,E025:DOOR_04--B4_0,E026:C3--E5,E027:E5--B5_0,E028:START_R05--DOOR_05,E029:DOOR_05--B5_0,E030:C3--E6,E031:E6--B6_0,E032:START_R06--DOOR_06,E033:DOOR_06--B6_0,E034:C4--E7,E035:E7--B7_0,E036:START_R07--DOOR_07,E037:DOOR_07--B7_0,E038:C4--E8,E039:E8--B8_0,E040:START_R08--DOOR_08,E041:DOOR_08--B8_0,E042:C5--E9,E043:E9--B9_0,E044:START_R09--DOOR_09,E045:DOOR_09--B9_0,E046:C5--E10,E047:E10--B10_0,E048:START_R10--DOOR_10,E049:DOOR_10--B10_0,E050:C6--E11,E051:E11--B11_0,E052:START_R11--DOOR_11,E053:DOOR_11--B11_0,E054:C6--E12,E055:E12--B12_0,E056:START_R12--DOOR_12,E057:DOOR_12--B12_0,E058:C7--E13,E059:E13--B13_0,E060:START_R13--DOOR_13,E061:DOOR_13--B13_0,E062:C7--E14,E063:E14--B14_0,E064:START_R14--DOOR_14,E065:DOOR_14--B14_0,E066:C8--E15,E067:E15--B15_0,E068:START_R15--DOOR_15,E069:DOOR_15--B15_0,E070:C8--E16,E071:E16--B16_0,E072:START_R16--DOOR_16,E073:DOOR_16--B16_0,E074:B1_0--B1_1,E075:START_R17--DOOR_17,E076:DOOR_17--B1_1,E077:B2_0--B2_1,E078:START_R18--DOOR_18,E079:DOOR_18--B2_1,E080:B3_0--B3_1,E081:START_R19--DOOR_19,E082:DOOR_19--B3_1,E083:B4_0--B4_1,E084:START_R20--DOOR_20,E085:DOOR_20--B4_1,E086:B5_0--B5_1,E087:START_R21--DOOR_21,E088:DOOR_21--B5_1,E089:B6_0--B6_1,E090:START_R22--DOOR_22,E091:DOOR_22--B6_1,E092:B7_0--B7_1,E093:START_R23--DOOR_23,E094:DOOR_23--B7_1,E095:B8_0--B8_1,E096:START_R24--DOOR_24,E097:DOOR_24--B8_1,E098:B9_0--B9_1,E099:START_R25--DOOR_25,E100:DOOR_25--B9_1,E101:B10_0--B10_1,E102:START_R26--DOOR_26,E103:DOOR_26--B10_1,E104:B11_0--B11_1,E105:START_R27--DOOR_27,E106:DOOR_27--B11_1,E107:B12_0--B12_1,E108:START_R28--DOOR_28,E109:DOOR_28--B12_1,E110:B13_0--B13_1,E111:START_R29--DOOR_29,E112:DOOR_29--B13_1,E113:B14_0--B14_1,E114:START_R30--DOOR_30,E115:DOOR_30--B14_1,E116:C0--EXIT_A,E117:C9--EXIT_B,E118:C1--EXIT_C,E119:C2--EXIT_D,E120:C3--EXIT_E,E121:C4--EXIT_F
R01__EXIT_A,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R01__EXIT_B,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R01__EXIT_D,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R01__EXIT_E,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R01__EXIT_F,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R02__EXIT_A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R02__EXIT_B,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R02__EXIT_C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R02__EXIT_D,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
