room_id,classical_exit,classical_distance,classical_hops,classical_path,occupancy,congestion_aware_exit,congestion_aware_distance,congestion_aware_hops,congestion_penalty,combined_cost,congestion_aware_path,exit_changed,path_changed,extra_distance,extra_hops
R01,EXIT_C,5.0,5,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> EXIT_C,24,EXIT_C,5.0,5,25.2,30.2,START_R01 -> DOOR_01 -> B1_0 -> E1 -> C1 -> EXIT_C,False,False,0.0,0
R02,EXIT_C,5.0,5,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> EXIT_C,14,EXIT_A,6.0,6,15.542347222222222,21.542347222222222,START_R02 -> DOOR_02 -> B2_0 -> E2 -> C1 -> C0 -> EXIT_A,True,True,1.0,1
R03,EXIT_D,5.0,5,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> EXIT_D,3,EXIT_D,5.0,5,8.740277777777777,13.740277777777777,START_R03 -> DOOR_03 -> B3_0 -> E3 -> C2 -> EXIT_D,False,False,0.0,0
R04,EXIT_D,5.0,5,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C2 -> EXIT_D,6,EXIT_D,5.0,5,16.540277777777778,21.540277777777778,START_R04 -> DOOR_04 -> B4_0 -> E4 -> C2 -> EXIT_D,False,False,0.0,0
R05,EXIT_E,5.0,5,START_R05 -> DOOR_05 -> B5_0 -> E5 -> C3 -> EXIT_E,2,EXIT_E,5.0,5,16.947569444444444,21.947569444444444,START_R05 -> DOOR_05 -> B5_0 -> E5 -> C3 -> EXIT_E,False,False,0.0,0
R06,EXIT_E,5.0,5,START_R06 -> DOOR_06 -> B6_0 -> E6 -> C3 -> EXIT_E,21,EXIT_E,5.0,5,23.428125,28.428125,START_R06 -> DOOR_06 -> B6_0 -> E6 -> C3 -> EXIT_E,False,False,0.0,0
R07,EXIT_F,5.0,5,START_R07 -> DOOR_07 -> B7_0 -> E7 -> C4 -> EXIT_F,25,EXIT_F,5.0,5,23.4375,28.4375,START_R07 -> DOOR_07 -> B7_0 -> E7 -> C4 -> EXIT_F,False,False,0.0,0
R08,EXIT_F,5.0,5,START_R08 -> DOOR_08 -> B8_0 -> E8 -> C4 -> EXIT_F,5,EXIT_E,6.0,6,16.88576388888889,22.88576388888889,START_R08 -> DOOR_08 -> B8_0 -> E8 -> C4 -> C3 -> EXIT_E,True,True,1.0,1
R09,EXIT_F,6.0,6,START_R09 -> DOOR_09 -> B9_0 -> E9 -> C5 -> C4 -> EXIT_F,12,EXIT_F,6.0,6,50.5388888888889,56.5388888888889,START_R09 -> DOOR_09 -> B9_0 -> E9 -> C5 -> C4 -> EXIT_F,False,False,0.0,0
R10,EXIT_F,6.0,6,START_R10 -> DOOR_10 -> B10_0 -> E10 -> C5 -> C4 -> EXIT_F,2,EXIT_F,6.0,6,75.20000000000002,81.2,START_R10 -> DOOR_10 -> B10_0 -> E10 -> C5 -> C4 -> EXIT_F,False,False,0.0,0
R11,EXIT_F,7.0,7,START_R11 -> DOOR_11 -> B11_0 -> E11 -> C6 -> C5 -> C4 -> EXIT_F,16,EXIT_B,8.0,8,60.05397222222223,68.05397222222223,START_R11 -> DOOR_11 -> B11_0 -> E11 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,True,True,1.0,1
R12,EXIT_F,7.0,7,START_R12 -> DOOR_12 -> B12_0 -> E12 -> C6 -> C5 -> C4 -> EXIT_F,21,EXIT_F,7.0,7,49.50555555555556,56.50555555555556,START_R12 -> DOOR_12 -> B12_0 -> E12 -> C6 -> C5 -> C4 -> EXIT_F,False,False,0.0,0
R13,EXIT_B,7.0,7,START_R13 -> DOOR_13 -> B13_0 -> E13 -> C7 -> C8 -> C9 -> EXIT_B,3,EXIT_F,8.0,8,71.28006944444445,79.28006944444445,START_R13 -> DOOR_13 -> B13_0 -> E13 -> C7 -> C6 -> C5 -> C4 -> EXIT_F,True,True,1.0,1
R14,EXIT_B,7.0,7,START_R14 -> DOOR_14 -> B14_0 -> E14 -> C7 -> C8 -> C9 -> EXIT_B,14,EXIT_B,7.0,7,65.90902777777778,72.90902777777778,START_R14 -> DOOR_14 -> B14_0 -> E14 -> C7 -> C8 -> C9 -> EXIT_B,False,False,0.0,0
R15,EXIT_B,6.0,6,START_R15 -> DOOR_15 -> B15_0 -> E15 -> C8 -> C9 -> EXIT_B,24,EXIT_B,6.0,6,23.000000000000004,29.000000000000004,START_R15 -> DOOR_15 -> B15_0 -> E15 -> C8 -> C9 -> EXIT_B,False,False,0.0,0
R16,EXIT_B,6.0,6,START_R16 -> DOOR_16 -> B16_0 -> E16 -> C8 -> C9 -> EXIT_B,17,EXIT_B,6.0,6,30.526041666666664,36.526041666666664,START_R16 -> DOOR_16 -> B16_0 -> E16 -> C8 -> C9 -> EXIT_B,False,False,0.0,0
R17,EXIT_C,6.0,6,START_R17 -> DOOR_17 -> B1_1 -> B1_0 -> E1 -> C1 -> EXIT_C,4,EXIT_C,6.0,6,15.919791666666663,21.919791666666665,START_R17 -> DOOR_17 -> B1_1 -> B1_0 -> E1 -> C1 -> EXIT_C,False,False,0.0,0
R18,EXIT_C,6.0,6,START_R18 -> DOOR_18 -> B2_1 -> B2_0 -> E2 -> C1 -> EXIT_C,23,EXIT_D,7.0,7,19.470138888888886,26.470138888888886,START_R18 -> DOOR_18 -> B2_1 -> B2_0 -> E2 -> C1 -> C2 -> EXIT_D,True,True,1.0,1
R19,EXIT_D,6.0,6,START_R19 -> DOOR_19 -> B3_1 -> B3_0 -> E3 -> C2 -> EXIT_D,5,EXIT_C,7.0,7,7.730208333333334,14.730208333333334,START_R19 -> DOOR_19 -> B3_1 -> B3_0 -> E3 -> C2 -> C1 -> EXIT_C,True,True,1.0,1
R20,EXIT_D,6.0,6,START_R20 -> DOOR_20 -> B4_1 -> B4_0 -> E4 -> C2 -> EXIT_D,16,EXIT_D,6.0,6,16.95694444444445,22.95694444444445,START_R20 -> DOOR_20 -> B4_1 -> B4_0 -> E4 -> C2 -> EXIT_D,False,False,0.0,0
